"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","COMMENT","CURRENT RATING [A]","DC RESISTANCE [OHM]","DCR","I_MAX","I_SAT","IMPEDANCE [OHM]","IMPEDANCE AT 100 MHZ","LATESTREVISIONDATE","LATESTREVISIONNOTE","MAXIM INTEGRATED","MODEL","PN","POWER","PUBLISHER","Q","RATED CURRENT","RDC","SIZE","TEMP","TOLERANCE","VALUE","VENDOR","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"MHDR2X5_SMD","MHDR2X5_SMD","","","","","","","MHDR2X5_SMD","","","","","","","","","","","","GRPB052VWQS-RC","","","","","","","","","","Sullins Interconnect","","","P?","Header, 10-Pin, Dual row SMD"
"MHDR2X6_SMD","MHDR2X6 _SMD","","","","","","","MHDR2X6_SMD","","","","","","","","","","","","GRPB062VWQS-RC","","","","","","","","","","Sullins Interconnect","","","P?","Header, 12-Pin, Dual row SMD"
"MIC_MP33AB01","MIC_MP33AB01","","","","","","","=PN","","","","","","","","","","","","MP33AB01","","","","","","","","","","ST","","*","MIC?","ST analog microphone"
"MIC_SPQ0410HR5H-B","MIC_SPQ0410HR5H-B","","","","","","","=PN","","","","","","","","","","","","SPQ0410HR5H-B","","","","","","","","","","Knowles","","*","MIC?","Knowles analog microphone"
"MIC_SPU0414HR5H-SB","MIC_SPU0414HR5H-SB","","","","","","","=PN","","","","","","","","","","","","SPU0414HR5H-SB","","","","","","","","","","Knowles","","*","MIC?","Knowles analog microphone"
"MINI51ZAN","QFN-33_5x5mm","","","","","","","=PN","","","","","","","","","","","","MINI51ZAN","","","","","","","","","","Nuvoton","","*","U?","Cortex M0 uC"
"MK20DN512AB10R","WLCSP-120_0.4","","","","","","","=PN","","","","","","","","","","","","MK20DN512AB10R","","","","","","","","","","Freescale","","*","U?","Freescale M4F microprocessor"
"MKL05Z8VFM4","QFN-33_5x5mm","","","","","","","=PN","","","","","","","","","","","","MKL05Z8VFM4","","","","","","","","","","Freescale","","*","U?","Freescale M0 uC, 48-MHz, QFN-33"
"MP33AB01H","MP33AB01H","","","","","","","=PN","","","","","","","","","","","","MP33AB01H","","","","","","","","","","ST","","*","U?","MEMS audio SMD bottom port analog microphone"
"MPU-6500","QFN40P300X300X95_HS-25N","","","","","","","=PN","","","","","","","","","","","","MPU-6500","","","","","","","","","","Invensense","","*","U?","InvenSense MPU-6500 6-axis accelerometer and gyroscope"
"MSS1P4","MSS1P4","","","","","","","MSS1P4","","","","","","","","","","","","","","","","","","","","","","","","*","D?","Schottcky Diode"
"MX25U12835F","WSON 8L","","","","","","","MX25U12835F","","","","","","","","","","","","MX25U12835F","","","","","","","","","","Macronix","","*","U?","Macronix MX25U12835F SPI NOR Flash"
"NAU8814YG","QFN-24_0.5","","","","","","","=PN","","","","","","","","","","","","NAU8814YG","","","","","","","","","","Nuvoton","","*","U?","Nuvoton Audio Codec"
"NSVBAT54WT1G","SOT-323","","","","","","","=PN","","","","","","","","","","","","NSVBAT54WT1G","","","","","","","","","","Onsemi","","*","D?","Single small signal schottky diode"
"Net tie","Net_tie","","","","","","","NT","","","","","","","","","","","","","","","","","","","","","","","","*","NT?","Net tie"
"Net tie_50mil","Net_tie_50mil","","","","","","","NT","","","","","","","","","","","","","","","","","","","","","","","","*","NT?","Net tie to bridge 50 mil spacing connector holes"
"OPA314AIDBV","SOT95P280X145-5N","","","","","","","=PN","","","","","","","","","","","","OPA314AIDBV","","","","","","","","","","TI","","*","U?","TI single 1.8-5.5V OPAMP"
"OPA314AIDCKT","SC-70-5","","","","","","","=PN","","","","","","","","","","","","OPA314AIDCKT","","","","","","","","","","TI","","*","U?","TI single 1.8-5.5V OPAMP"
"Osc_160M_HCMOS,TTL_3.3_50_60m","","","","","","","","=PN","","","","","","","","","","","","CB3LV-3I-160M0000","","","","","","","","","","CTS","","*","X?","160MHz Oscillator"
"P50-B1","P50-B1","","","","","","","P50-B1","","","","","","","","","","","","","","","","","","","","","","","","*","PP?","P50-B1 Conical tipped pogo pin"
"PE4259","SOT65P212X110-6N","","","","","","","=PN","","","","","","","","","","","","PE4259","","","","","","","","","","Peregrine semiconductor","","","U?","RF Switch"
"R5405","DFN1616-6","","","","","","","R5405L273KF","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Ricoh Li-ion/Polymer Battery Protection"
"REF5030IDGKT","SOIC-8_0.65","","","","","","","=PN","","","","","","","","","","","","REF5030IDGKT","","","","","","","","","","TI","","*","U?","3.0V voltage reference"
"REF5045IDGKT","SOIC-8_0.65","","","","","","","=PN","","","","","","","","","","","","REF5045IDGKT","","","","","","","","","","TI","","*","U?","4.5V voltage reference"
"RSX-10","RSX-10","","","","","","","RSX-10","","","","","","","","","","","","","","","","","","","","","","","","*","X?","Rakon RSX-10 16MHz XTAL"
"R_0.02_1_0.5_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6BWFR020V","0.5","","","","","0805","","1 %","0.02","Panasonic","","*","R?","Chip Resistor"
"R_0.1_0.1_2_3637","Y14880R10000B9R","","","","","","","=Value","","","","","","","","","","","*","Y14880R10000B9R","2 W","","","","","3637","","0.1 %","0.1","Vishay Foil Resistors","","*","R?","Chip Resistor"
"R_0.5_0.5_1_2516","Y08560R50000D9W","","","","","","","=Value","","","","","","","","","","","*","Y08560R50000D9W","1 W","","","","","2516","","0.5 %","0.5","Vishay Foil Resistors","","*","R?","Chip Resistor"
"R_0_jumper_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GE0R00C","0.05 W","","","","","0201","","Jumper","0","Panasonic","","*","R?","Chip Resistor"
"R_0_jumper_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEY0R00V","0.125 W","","","","","0805","","Jumper","0","Panasonic","","*","R?","Chip Resistor"
"R_0_jumper_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2GE0R00X","0.1 W","","","","","0402","","Jumper","0","Panasonic","","*","R?","Chip Resistor"
"R_0_jumper_0.25_0603","RES0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","CRCW06030000Z0EAHP","0.25 W","","","","","0603","","Jumper","0","Vishay Dale","","*","R?","Chip Resistor"
"R_1.2k_0.5_0.063_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-2AEB122X","0.063 W","","","","","0402","","0.5 %","1.2k","Panasonic","","*","R?","Chip Resistor"
"R_1.5k_1_0.1_0603","RES0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-3EKF1501V","0.1 W","","","","","0603","","1 %","1.5k","Panasonic","","*","R?","Chip Resistor"
"R_1.5k_5_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2GEJ152X","0.1 W","","","","","0402","","5 %","1.5k","Panasonic","","*","R?","Chip Resistor"
"R_1.8M_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ185V","0.125 W","","","","","0805","","5 %","1.8M","Panasonic","","*","R?","Chip Resistor"
"R_100_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF1000X","0.1 W","","","","","0402","","1 %","100","Panasonic","","*","R?","Chip Resistor"
"R_100k_0.5_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1RHD1003C","0.05 W","","","","","0201","","0.5 %","100k","Panasonic","","*","R?","Chip Resistor"
"R_100k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF1003C","0.05 W","","","","","0201","","1 %","100k","Panasonic","","*","R?","Chip Resistor"
"R_100k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF1003X","0.1 W","","","","","0402","","1 %","100k","Panasonic","","*","R?","Chip Resistor"
"R_100k_5_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEJ104C","0.05 W","","","","","0201","","5 %","100k","Panasonic","","*","R?","Chip Resistor"
"R_100k_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ104V","0.125 W","","","","","0805","","5 %","100k","Panasonic","","*","R?","Chip Resistor"
"R_10_0.5_0.5_2516","Y160710R0000D9W","","","","","","","=Value","","","","","","","","","","","*","Y160710R0000D9W","0.5 W","","","","","2516","","0.5 %","10","Vishay Foil Resistors","","*","R?","Chip Resistor"
"R_10_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF10R0X","0.1 W","","","","","0402","","1 %","10","Panasonic","","*","R?","Chip Resistor"
"R_10_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ100V","0.1 W","","","","","0805","","5 %","10","Panasonic","","*","R?","Chip Resistor"
"R_10_5_1_2512","RES2512","","","","","","","=Value","","","","","","","","","","","*","ERJ-1TYJ100U","1 W","","","","","2512","","5 %","10","Panasonic","","*","R?","Chip Resistor"
"R_10k_0.5_0.063_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-2AED103X","0.063 W","","","","","0402","","0.5 %","10k","Panasonic","","*","R?","Chip Resistor"
"R_10k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF1002C","0.05 W","","","","","0201","","1 %","10k","Panasonic","","*","R?","Chip Resistor"
"R_10k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF1002X","0.1 W","","","","","0402","","1 %","10k","Panasonic","","*","R?","Chip Resistor"
"R_10k_5_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEJ103C","0.05 W","","","","","0201","","5%","10k","Panasonic","","*","R?","Chip Resistor"
"R_10k_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ103V","0.125 W","","","","","0805","","5 %","10k","Panasonic","","*","R?","Chip Resistor"
"R_10k_5_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2GEJ103X","0.1 W","","","","","0402","","5 %","10k","Panasonic","","*","R?","Chip Resistor"
"R_12.1k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF1212X","0.1 W","","","","","0402","","1 %","12.1k","Panasonic","","*","R?","Chip Resistor"
"R_12k_0.5_0.063_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-2AED123X","0.063 W","","","","","0402","","0.5 %","12k","Panasonic","","*","R?","Chip Resistor"
"R_150_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF1500X","0.1 W","","","","","0402","","1 %","150","Panasonic","","*","R?","Chip Resistor"
"R_150_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ151V","0.125 W","","","","","0805","","5 %","150","Panasonic","","*","R?","Chip Resistor"
"R_180_0.5_0.063_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-2AED181X","0.063 W","","","","","0402","","0.5 %","180","Panasonic","","*","R?","Chip Resistor"
"R_1M_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ105V","0.125 W","","","","","0805","","5 %","1M","Panasonic","","*","R?","Chip Resistor"
"R_1_0.5_1_2516","Y08560R50000D9W","","","","","","","=Value","","","","","","","","","","","*","Y16061R00000B9W","1 W","","","","","2516","","0.1 %","1","Vishay Foil Resistors","","*","R?","Chip Resistor"
"R_1_5_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2GEJ1R0X","0.1 W","","","","","0402","","5 %","1","Panasonic","","*","R?","Chip Resistor"
"R_1k_0.1_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-6AEB102V","0.125 W","","","","","0805","","0.1 %","1k","Panasonic","","*","R?","Chip Resistor"
"R_1k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF1001X","0.1 W","","","","","0402","","1 %","1k","Panasonic","","*","R?","Chip Resistor"
"R_1k_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ102V","0.125 W","","","","","0805","","5 %","1k","Panasonic","","*","R?","Chip Resistor"
"R_2.21k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF2211X","0.1 W","","","","","0402","","1 %","2.21k","Panasonic","","","R?","Chip Resistor"
"R_2.2k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF2201C","0.05 W","","","","","0201","","1 %","2.2k","Panasonic","","*","R?","Chip Resistor"
"R_2.32k_0.5_0.063_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-2AEB2321X","0.063 W","","","","","0402","","0.5 %","2.32k","Panasonic","","*","R?","Chip Resistor"
"R_2.7k_1_0.1_0603","RES0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-3EKF2701V","0.1 W","","","","","0603","","1 %","2.7k","Panasonic","","*","R?","Chip Resistor"
"R_2.7k_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ272V","0.125 W","","","","","0805","","5 %","2.7k","Panasonic","","*","R?","Chip Resistor"
"R_2.7k_5_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2GEJ272X","0.1 W","","","","","0402","","5 %","2.7k","Panasonic","","*","R?","Chip Resistor"
"R_20k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF2002X","0.1 W","","","","","0402","","1 %","20k","Panasonic","","*","R?","Chip Resistor"
"R_215k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF2153X","0.1 W","","","","","0402","","1 %","215k","Panasonic","","*","R?","Chip Resistor"
"R_220_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF2200C","0.125 W","","","","","0201","","1 %","220","Panasonic","","*","R?","Chip Resistor"
"R_22_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ220V","0.125 W","","","","","0805","","5 %","22","Panasonic","","*","R?","Chip Resistor"
"R_240k_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ244V","0.125 W","","","","","0805","","5 %","240k","Panasonic","","*","R?","Chip Resistor"
"R_270_5_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2GEJ271X","0.1 W","","","","","0402","","5 %","270","Panasonic","","*","R?","Chip Resistor"
"R_294k_1_0.0625_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","CR0402-16W-T943FT","0.0625 W","","","","","0402","","1 %","294k","Venko","","*","R?","Chip Resistor"
"R_2M_1_0.1_0603","RES0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","RC0603FR-072ML","0.1 W","","","","","0603","","1 %","2M","Yageo","","*","R?","Chip Resistor"
"R_2_0.5_0.25_1610","Y11192R00000D9W","","","","","","","=Value","","","","","","","","","","","*","Y11192R00000D9W","0.25 W","","","","","1610","","0.5 %","2","Vishay Foil Resistors","","*","R?","Chip Resistor"
"R_2k_0.1_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-6AEB202V","0.125 W","","","","","0805","","0.1 %","2k","Panasonic","","*","R?","Chip Resistor"
"R_2k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF2001C","0.05 W","","","","","0201","","1 %","2k","Panasonic","","*","R?","Chip Resistor"
"R_2k_5_0.5_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-P06J202V","0.5 W","","","","","0805","","5 %","2k","Panasonic","","*","R?","Chip Resistor"
"R_3.6k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF3601X","0.1 W","","","","","0402","","1 %","3.6k","Panasonic","","*","R?","Chip Resistor"
"R_301k_1_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6ENF3013V","0.125 W","","","","","0805","","1 %","301k","Panasonic","","*","R?","Chip Resistor"
"R_30_0.1_0.1_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","2-1614884-8","0.1 W","","","","","0805","","0.1 %","30","TE Connectivity","","*","R?","Chip Resistor"
"R_324_1_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6ENF3240V","0.125 W","","","","","0805","","1 %","324","Panasonic","","*","R?","Chip Resistor"
"R_33_5_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2GEJ330X","0.1 W","","","","","0402","","5 %","33","Panasonic","","*","R?","Chip Resistor"
"R_3_5_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEJ3R0C","0.05 W","","","","","0201","","5 %","3","Panasonic","","*","R?","Chip Resistor"
"R_3k_0.1_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-6ARB302V","0.125 W","","","","","0805","","0.1 %","3k","Panasonic","","*","R?","Chip Resistor"
"R_4.3k_5_0.1_0603","RES0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-3GEYJ432V","0.1 W","","","","","0603","","5 %","4.3k","Panasonic","","*","R?","Chip Resistor"
"R_42.2k_0.1_0.063_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERA-2AEB4222X","0.063 W","","","","","0402","","0.1 %","42.2k","Panasonic","","*","R?","Chip Resistor"
"R_475_1_0.05_0201","RES0402","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF4750C","0.05 W","","","","","0201","","1 %","475","Panasonic","","*","R?","Chip Resistor"
"R_475_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF4750X","0.1 W","","","","","0402","","1 %","475","Panasonic","","*","R?","Chip Resistor"
"R_47k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF4702C","0.05 W","","","","","0201","","1 %","47k","Panasonic","","*","R?","Chip Resistor"
"R_47k_1_0.2_0603","RES0603_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-P03F4702V","0.2 W","","","","","0603","","1 %","47k","Panasonic","","*","R?","Chip Resistor"
"R_48.7k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF4872C","0.05 W","","","","","0201","","1 %","48.7k","Panasonic","","*","R?","Chip Resistor"
"R_48.7k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF4872X","0.1 W","","","","","0402","","1 %","48.7k","Panasonic","","*","R?","Chip Resistor"
"R_487k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF4873C","0.05 W","","","","","0201","","1 %","487k","Panasonic","","*","R?","Chip Resistor"
"R_49.9k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF4992C","0.05 W","","","","","0201","","1 %","49.9k","Panasonic","","*","R?","Chip Resistor"
"R_5.1k_5_0.125_0805","RES0805_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-6GEYJ512V","0.125 W","","","","","0805","","5 %","5.1 k","Panasonic","","*","R?","Chip Resistor"
"R_523k_1_0.05_0201","RES0201","","","","","","","=Value","","","","","","","","","","","*","ERJ-1GEF5233C","0.05 W","","","","","0201","","1 %","523k","Panasonic","","*","R?","Chip Resistor"
"R_523k_1_0.1_0402","RES0402_SENSE_DVT","","","","","","","=Value","","","","","","","","","","","*","ERJ-2RKF5233X","0.1 W","","","","","0402","","1 %","523k","Panasonic","","*","R?","Chip Resistor"
