"LIBRARYREFERENCE","FOOTPRINT1","FOOTPRINT2","FOOTPRINT3","FOOTPRINT4","FOOTPRINT5","FOOTPRINT6","FOOTPRINT7","COMMENT","CURRENT RATING [A]","DC RESISTANCE [OHM]","DCR","I_MAX","I_SAT","IMPEDANCE [OHM]","IMPEDANCE AT 100 MHZ","LATESTREVISIONDATE","LATESTREVISIONNOTE","MAXIM INTEGRATED","MODEL","PN","POWER","PUBLISHER","Q","RATED CURRENT","RDC","SIZE","TEMP","TOLERANCE","VALUE","VENDOR","VOLTAGE","SHEETPART","DESIGNATOR","DESCRIPTION"
"TP_0.875x0.5mm","5016","TP0875x050","","","","","","TP?","","","","","","","","","","","","","","","","","","","","","","","","*","TP?","Single-pad test point, 0.875x0.5mm"
"TP_1.6mm","TP-1.6","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","TP?","testpoint"
"TS332IDT","SOIC-8","","","","","","","=PN","","","","","","","","","","","","TS332IDT","","","","","","","","","","ST","","*","U?","Analog Devices Comparator"
"TSL12PFN","TSL12PFN","","","","","","","TSL12PFN","","","","","","","","","","","","","","","","","","","","","","","","*","U?","AMS TSL12PFN 400-700nm Optical Sensor with integrated TIA"
"TSL45313-CLCT","TSL4531","","","","","","","=PN","","","","","","","","","","","","TSL45313-CLCT","","","","","","","","","","TAOS","","*","U?","Digital ambient light sensor"
"TSL45317-CLCT","TSL4531","","","","","","","=PN","","","","","","","","","","","","TSL45317-CLCT","","","","","","","","","","TAOS","","*","U?","Digital ambient light sensor"
"TVS_824022","SOT-23","","","","","","","=PN","","","","","","","","","","","","824022","","","","","","","","","","Wuerth","","*","D?","Wuerth dual TVS diode"
"TXS0108ERGYR","QFN50P450X350X100_HS-21N","","","","","","","=PN","","","","","","","","","","","","TXS0108ERGYR","","","","","","","","","","TI","","*","U?","8-BIT BIDIRECTIONAL VOLTAGE-LEVEL TRANSLATOR  FOR OPEN-DRAIN AND PUSH-PULL APPLICATIONS"
"TestPoint","TP-0.3","TP-0.4-Dual","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","TP?","Generic Test Point"
"TestPoint_hook_black","HOOK_1.7mm","","","","","","","*","","","","","","","","","","","","5006","","","","","","","","","","Keystone","","*","TP?","Hook Test Point"
"TestPoint_turret_2.4","TURRET_2.4mm","","","","","","","*","","","","","","","","","","","","2501-2-00-44-00-00-07-0","","","","","","","","","","Mill-Max","","*","TP?","Turret Test Point"
"U.FL-R-SMT-1","U.FL-R-SMT-1","","","","","","","=PN","","","","","","","","","","","","U.FL-R-SMT-1","","","","","","","","","","Hirose","","*","J?","U.FL type antenna connector"
"USB3315","QFN-24_0.5","","","","","","","=PN","","","","","","","","","","","","USB3315","","","","","","","","","","SMSC","","*","U?","Hi-speed USB transceiver with ULPI interface"
"USB4604","SQFN-48","","","","","","","*","","","","","","","","","","","","USB4604","","","","","","","","","","SMSC","","*","U?","4-port USB 2.0 hub controller"
"USB_micro_B","TE-2040343","","","","","","","*","","","","","","","","","","","","TE-2040343","","","","","","","","","","TE","","*","U?","board-cut USB connector"
"VCNL3020-GS08","vcnl3020","","","","","","","=PN","","","","","","","","","","","","VCNL3020-GS08","","","","","","","","","","Vishay","","*","U?","Proximity and ambient light sensor with IR emitter and I2C interface"
"VCNL4010","VCNL4010","","","","","","","=PN","","","","","","","","","","","","VCNL4010","","","","","","","","","","Vishay","","*","U?","Proximity and ambient light sensor with IR emitter and I2C interface plus interrupt"
"WS2812S","6PIN_WS2812","","","","","","","WS2812S","","","","","","","","","","","","","","","","","","","","","","","","","U?","WS2812S Intelligent control LED integrated light source"
"Wuerth-744232090","Wuert-744232090","","","","","","","=PN","","","","","","","","","","","","744232090","","","","","","","","","","Wuerth","","*","U?","Common mode line filter"
"Wuerth-824001","SOT-23-6","","","","","","","=PN","","","","","","","","","","","","824001","","","","","","","","","","Wuerth","","*","U?","ESD protection IC for 2 I/O channels and VDD"
"Wuerth-824011","SOT-23-5","","","","","","","=PN","","","","","","","","","","","","824011","","","","","","","","","","Wuerth","","*","U?","ESD protection IC for 2 I/O channels and VDD"
"XCL208","USP-10B03","","","","","","","*","","","","","","","","","","","","","","","","","","","","","","","","*","U?","Torex micro DC-DC Converter"
"ZHCS400","ZHCS400","","","","","","","ZHCS400","","","","","","","","","","","","","","","","","","","","","","","","*","D?","Schottky Diode"
"molex_105164-001","molex_105164-001","","","","","","","=PN","","","","","","","","","","","","105164-001","","","","","","","","","","Molex","","*","P?","Molex right-angle reverse flangeless USB Mini-B OTG receptacle"
"molex_47309-8651","molex_47309-8651","","","","","","","=PN","","","","","","","","","","","","47309-8651","","","","","","","","","","Molex","","*","P?","Molex SD card connector"
"molex_47420-0001","molex_47420-0001","","","","","","","=PN","","","","","","","","","","","","47420-0001","","","","","","","","","","Molex","","*","P?","Molex 4-pin spring connector 1.8 mm working height"
"molex_49597-2007","molex_49597-2007","","","","","","","=PN","","","","","","","","","","","","49597-2007","","","","","","","","","","Molex","","*","P?","Molex 20-pin 1.25mm pitch connector"
"molex_51281-2694","molex_51281-2694","","","","","","","=PN","","","","","","","","","","","","51281-2694","","","","","","","","","","Molex","","*","P?","Molex 26-pin 0.5mm pitch connector"
"molex_51387-0530","molex_51387-0530","","","","","","","molex_51387-0530","","","","","","","","","","","","","","","","","","","","","","","","*","P?","Molex right-angle USB Mini-B OTG receptacle with board guide"
"molex_52885-0374","molex_52885-0374","","","","","","","=PN","","","","","","","","","","","","52885-0374","","","","","","","","","","Molex","","*","P?","Molex 30-pin 0.635mm pitch receptacle connector"
"molex_53647-0374","molex_53647-0374","","","","","","","=PN","","","","","","","","","","","","53647-0374","","","","","","","","","","Molex","","*","P?","Molex 30-pin 0.635mm pitch plug connector"
"nRF51422_QF","VQFN40P600X600X100-48","","","","","","","=PN","","","","","","","","","","","","nRF51422-QF","","","","","","","","","","Nordic Semiconductor","","","U?","Multi-protocol Bluetooth Low Energy, ANT and 2.4GHz proprietary system-on-chip"
"nRF51822_QF","VQFN40P600X600X100-48","","","","","","","=PN","","","","","","","","","","","","nRF51822-QF","","","","","","","","","","Nordic Semiconductor","","","U?","Multi-protocol Bluetooth Low Energy and 2.4GHz proprietary system-on-chip"
